1,30,6,3,140,4,225,0
2,33,12,1,50,1,50,0
3,35,48,0,0,0,0,0
4,35,5,5,450,6,415,0
5,39,2,5,245,12,661,1
6,40,24,0,0,1,225,0
7,45,3,6,403,8,1138,0
8,48,6,3,115,4,262,0
9,50,12,1,42,7,290,0
10,50,5,2,100,8,700,1
11,50,8,3,144,4,202,0
12,50,1,10,562,13,595,1
13,50,2,3,166,4,308,0
14,50,4,4,228,4,228,0
15,50,5,5,322,7,717,1
16,55,13,0,0,6,1050,0
17,55,6,3,244,7,811,0
18,57,20,0,0,2,140,0
19,58,3,4,200,4,818,1
20,60,12,1,70,2,150,0
21,60,3,4,256,7,468,0
22,62,12,1,65,5,255,0
23,64,8,1,70,6,300,0
24,65,2,6,471,8,607,0
25,68,6,2,110,3,150,0
26,70,3,3,222,5,305,0
27,70,6,2,120,4,230,0
28,70,5,3,205,8,455,1
29,72,7,4,445,6,400,0
30,75,6,1,77,2,168,0
31,75,4,2,166,5,404,0
32,75,4,3,210,4,270,0
33,78,8,2,180,7,555,1
34,78,5,3,245,9,602,1
35,79,4,3,225,5,350,0
36,80,3,4,300,6,499,0
37,90,3,5,400,9,723,0
38,95,1,6,650,9,1006,1
39,98,6,2,215,3,333,0
40,100,12,1,100,2,200,0
41,100,2,1,110,4,400,1
42,100,3,3,217,6,605,0
43,100,3,4,330,8,660,1
44,105,2,4,400,7,560,0
45,110,3,4,420,6,570,0
46,125,3,2,270,5,590,1
47,140,6,3,405,6,775,0
48,160,2,2,411,8,706,0
49,180,1,5,744,10,945,1
50,200,1,3,558,4,755,1
51,240,4,4,815,10,1150,1
52,250,3,3,782,10,1500,1
53,300,12,1,250,4,401,0
54,340,1,5,1084,7,1162,1
55,500,4,2,777,3,905,1
56,650,1,4,1493,7,2050,1
